,original_title,runtime,vote_average,release_year,genre
2885,The Curious Case of Benjamin Button,166,7.2,2008,Drama
2885,The Curious Case of Benjamin Button,166,7.2,2008,Thriller
2885,The Curious Case of Benjamin Button,166,7.2,2008,Mystery
2885,The Curious Case of Benjamin Button,166,7.2,2008,Romance
2886,The Mummy: Tomb of the Dragon Emperor,112,5.1,2008,Adventure
2886,The Mummy: Tomb of the Dragon Emperor,112,5.1,2008,Fantasy
2886,The Mummy: Tomb of the Dragon Emperor,112,5.1,2008,Action
2886,The Mummy: Tomb of the Dragon Emperor,112,5.1,2008,Thriller
2887,The Incredible Hulk,114,6.1,2008,Science Fiction
2887,The Incredible Hulk,114,6.1,2008,Action
2887,The Incredible Hulk,114,6.1,2008,Adventure
2888,Gran Torino,116,7.6,2008,Drama
2889,Madagascar: Escape 2 Africa,89,6.1,2008,Family
2889,Madagascar: Escape 2 Africa,89,6.1,2008,Animation
2890,Hellboy II: The Golden Army,120,6.4,2008,Adventure
2890,Hellboy II: The Golden Army,120,6.4,2008,Fantasy
2890,Hellboy II: The Golden Army,120,6.4,2008,Science Fiction
2891,Jumper,88,5.9,2008,Adventure
2891,Jumper,88,5.9,2008,Fantasy
2891,Jumper,88,5.9,2008,Science Fiction
2892,Journey to the Center of the Earth,93,5.7,2008,Action
2892,Journey to the Center of the Earth,93,5.7,2008,Science Fiction
2892,Journey to the Center of the Earth,93,5.7,2008,Adventure
2892,Journey to the Center of the Earth,93,5.7,2008,Comedy
2892,Journey to the Center of the Earth,93,5.7,2008,Family
2893,Wanted,110,6.3,2008,Action
2893,Wanted,110,6.3,2008,Thriller
2893,Wanted,110,6.3,2008,Crime
2894,Tinker Bell,78,6.7,2008,Animation
2894,Tinker Bell,78,6.7,2008,Family
2894,Tinker Bell,78,6.7,2008,Adventure
2894,Tinker Bell,78,6.7,2008,Fantasy
2895,Slumdog Millionaire,120,7.5,2008,Drama
2895,Slumdog Millionaire,120,7.5,2008,Romance
2896,Transporter 3,104,5.9,2008,Action
2896,Transporter 3,104,5.9,2008,Adventure
2896,Transporter 3,104,5.9,2008,Thriller
2896,Transporter 3,104,5.9,2008,Crime
2897,Valkyrie,121,6.6,2008,Drama
2897,Valkyrie,121,6.6,2008,Thriller
2897,Valkyrie,121,6.6,2008,History
2897,Valkyrie,121,6.6,2008,War
2898,"10,000 BC",109,5.2,2008,Adventure
2898,"10,000 BC",109,5.2,2008,Action
2898,"10,000 BC",109,5.2,2008,Drama
2898,"10,000 BC",109,5.2,2008,Fantasy
2899,Hancock,92,6.0,2008,Fantasy
2899,Hancock,92,6.0,2008,Action
2900,The Hurt Locker,131,7.2,2008,Drama
2900,The Hurt Locker,131,7.2,2008,Thriller
2900,The Hurt Locker,131,7.2,2008,War
2901,What Happens in Vegas,99,5.8,2008,Comedy
2901,What Happens in Vegas,99,5.8,2008,Romance
2902,The Chronicles of Narnia: Prince Caspian,150,6.1,2008,Adventure
2902,The Chronicles of Narnia: Prince Caspian,150,6.1,2008,Family
2902,The Chronicles of Narnia: Prince Caspian,150,6.1,2008,Fantasy
2903,Tropic Thunder,107,6.4,2008,Action
2903,Tropic Thunder,107,6.4,2008,Comedy
2904,Eagle Eye,118,6.2,2008,Mystery
2904,Eagle Eye,118,6.2,2008,Thriller
2904,Eagle Eye,118,6.2,2008,Action
2905,The Boy in the Striped Pyjamas,94,7.6,2008,War
2905,The Boy in the Striped Pyjamas,94,7.6,2008,Drama
2906,Rambo,92,6.2,2008,Action
2906,Rambo,92,6.2,2008,Thriller
2907,Death Race,105,5.9,2008,Action
2907,Death Race,105,5.9,2008,Thriller
2907,Death Race,105,5.9,2008,Science Fiction
2908,Step Up 2: The Streets,98,6.4,2008,Music
2908,Step Up 2: The Streets,98,6.4,2008,Drama
2908,Step Up 2: The Streets,98,6.4,2008,Romance
2909,The Day the Earth Stood Still,103,5.1,2008,Drama
2909,The Day the Earth Stood Still,103,5.1,2008,Science Fiction
2909,The Day the Earth Stood Still,103,5.1,2008,Thriller
2910,Starship Troopers 3: Marauder,105,4.3,2008,Adventure
2910,Starship Troopers 3: Marauder,105,4.3,2008,Science Fiction
2910,Starship Troopers 3: Marauder,105,4.3,2008,Action
2911,Seven Pounds,123,7.4,2008,Drama
2912,Cloverfield,85,6.4,2008,Action
2912,Cloverfield,85,6.4,2008,Thriller
2912,Cloverfield,85,6.4,2008,Science Fiction
2913,Bolt,96,6.3,2008,Animation
2913,Bolt,96,6.3,2008,Family
2913,Bolt,96,6.3,2008,Adventure
2913,Bolt,96,6.3,2008,Comedy
2914,Forgetting Sarah Marshall,111,6.3,2008,Comedy
2914,Forgetting Sarah Marshall,111,6.3,2008,Romance
2914,Forgetting Sarah Marshall,111,6.3,2008,Drama
2915,Australia,165,6.3,2008,Drama
2916,Yes Man,104,6.3,2008,Comedy
2916,Yes Man,104,6.3,2008,Romance
2917,Marley & Me,115,6.8,2008,Comedy
2917,Marley & Me,115,6.8,2008,Family
2918,Body of Lies,128,6.5,2008,Action
2918,Body of Lies,128,6.5,2008,Drama
2918,Body of Lies,128,6.5,2008,Thriller
2919,Burn After Reading,96,6.3,2008,Comedy
2919,Burn After Reading,96,6.3,2008,Drama
2920,27 Dresses,111,6.1,2008,Comedy
2920,27 Dresses,111,6.1,2008,Romance
2921,Inkheart,106,5.8,2008,Adventure
2921,Inkheart,106,5.8,2008,Family
2921,Inkheart,106,5.8,2008,Fantasy
2922,21,123,6.5,2008,Drama
2922,21,123,6.5,2008,Crime
2923,The Bank Job,112,6.4,2008,Thriller
2923,The Bank Job,112,6.4,2008,Crime
2923,The Bank Job,112,6.4,2008,Drama
2924,Step Brothers,98,6.6,2008,Comedy
2925,"Definitely, Maybe",112,6.5,2008,Comedy
2925,"Definitely, Maybe",112,6.5,2008,Romance
2926,Fool's Gold,112,5.3,2008,Comedy
2927,Never Back Down,115,6.5,2008,Drama
2927,Never Back Down,115,6.5,2008,Action
2928,Pineapple Express,111,6.6,2008,Action
2928,Pineapple Express,111,6.6,2008,Comedy
2929,The Wrestler,109,7.0,2008,Drama
2929,The Wrestler,109,7.0,2008,Romance
2930,Bedtime Stories,99,5.8,2008,Fantasy
2930,Bedtime Stories,99,5.8,2008,Comedy
2930,Bedtime Stories,99,5.8,2008,Family
2930,Bedtime Stories,99,5.8,2008,Romance
2931,Punisher: War Zone,102,5.5,2008,Action
2931,Punisher: War Zone,102,5.5,2008,Crime
2932,Max Payne,100,5.3,2008,Action
2933,Mirrors,110,6.0,2008,Horror
2933,Mirrors,110,6.0,2008,Thriller
2933,Mirrors,110,6.0,2008,Mystery
2934,Vantage Point,90,6.2,2008,Drama
2934,Vantage Point,90,6.2,2008,Action
2934,Vantage Point,90,6.2,2008,Thriller
2934,Vantage Point,90,6.2,2008,Crime
2935,Zack and Miri Make a Porno,102,6.0,2008,Comedy
2936,Get Smart,110,5.9,2008,Action
2936,Get Smart,110,5.9,2008,Comedy
2936,Get Smart,110,5.9,2008,Thriller
2937,Role Models,99,6.3,2008,Comedy
2938,The Scorpion King: Rise of a Warrior,109,4.3,2008,Fantasy
2938,The Scorpion King: Rise of a Warrior,109,4.3,2008,Action
2938,The Scorpion King: Rise of a Warrior,109,4.3,2008,Adventure
2939,Frost/Nixon,122,6.8,2008,Drama
2940,High School Musical 3: Senior Year,116,6.1,2008,Comedy
2940,High School Musical 3: Senior Year,116,6.1,2008,Drama
2940,High School Musical 3: Senior Year,116,6.1,2008,Family
2940,High School Musical 3: Senior Year,116,6.1,2008,Music
2940,High School Musical 3: Senior Year,116,6.1,2008,Romance
2941,The Reader,124,7.1,2008,Drama
2941,The Reader,124,7.1,2008,Romance
2942,Babylon A.D.,101,5.4,2008,Action
2942,Babylon A.D.,101,5.4,2008,Adventure
2942,Babylon A.D.,101,5.4,2008,Science Fiction
2942,Babylon A.D.,101,5.4,2008,Thriller
2943,Diario de una ninfÃ³mana,95,5.6,2008,Drama
2943,Diario de una ninfÃ³mana,95,5.6,2008,Romance
2944,In Bruges,107,7.3,2008,Comedy
2944,In Bruges,107,7.3,2008,Drama
2944,In Bruges,107,7.3,2008,Crime
2945,Changeling,141,7.1,2008,Crime
2945,Changeling,141,7.1,2008,Drama
2945,Changeling,141,7.1,2008,Mystery
2946,The Spiderwick Chronicles,95,6.2,2008,Adventure
2946,The Spiderwick Chronicles,95,6.2,2008,Family
2946,The Spiderwick Chronicles,95,6.2,2008,Fantasy
2947,Harold & Kumar Escape from Guantanamo Bay,107,6.0,2008,Comedy
2947,Harold & Kumar Escape from Guantanamo Bay,107,6.0,2008,Adventure
2948,The Accidental Husband,90,5.2,2008,Comedy
2948,The Accidental Husband,90,5.2,2008,Romance
2949,Wild Child,98,6.3,2008,Comedy
2949,Wild Child,98,6.3,2008,Drama
2949,Wild Child,98,6.3,2008,Family
2950,Felon,103,6.9,2008,Crime
2950,Felon,103,6.9,2008,Action
2950,Felon,103,6.9,2008,Drama
2951,Snow Buddies,87,4.6,2008,Family
2952,Kung Fu Panda: Secrets of the Furious Five,25,6.4,2008,Animation
2952,Kung Fu Panda: Secrets of the Furious Five,25,6.4,2008,Comedy
2952,Kung Fu Panda: Secrets of the Furious Five,25,6.4,2008,Family
2953,Street Kings,109,6.2,2008,Action
2953,Street Kings,109,6.2,2008,Crime
2953,Street Kings,109,6.2,2008,Drama
2953,Street Kings,109,6.2,2008,Thriller
2954,Nick and Norah's Infinite Playlist,89,6.4,2008,Comedy
2954,Nick and Norah's Infinite Playlist,89,6.4,2008,Drama
2954,Nick and Norah's Infinite Playlist,89,6.4,2008,Music
2954,Nick and Norah's Infinite Playlist,89,6.4,2008,Romance
2955,Four Christmases,88,5.3,2008,Comedy
2955,Four Christmases,88,5.3,2008,Romance
2955,Four Christmases,88,5.3,2008,Drama
2956,Another Cinderella Story,90,6.2,2008,Music
2957,Stargate: The Ark of Truth,97,6.8,2008,Adventure
2957,Stargate: The Ark of Truth,97,6.8,2008,Science Fiction
2958,The House Bunny,97,5.6,2008,Romance
2958,The House Bunny,97,5.6,2008,Comedy
2959,Presto,5,8.0,2008,Animation
2959,Presto,5,8.0,2008,Family
2960,Star Wars: The Clone Wars,98,6.0,2008,Thriller
2960,Star Wars: The Clone Wars,98,6.0,2008,Animation
2960,Star Wars: The Clone Wars,98,6.0,2008,Action
2960,Star Wars: The Clone Wars,98,6.0,2008,Science Fiction
2960,Star Wars: The Clone Wars,98,6.0,2008,Adventure
2961,Saw V,92,5.9,2008,Horror
2961,Saw V,92,5.9,2008,Thriller
2961,Saw V,92,5.9,2008,Crime
2962,The Love Guru,87,4.5,2008,Comedy
2962,The Love Guru,87,4.5,2008,Romance
2963,Speed Racer,135,5.6,2008,Family
2963,Speed Racer,135,5.6,2008,Action
2963,Speed Racer,135,5.6,2008,Science Fiction
2964,Vicky Cristina Barcelona,96,6.7,2008,Drama
2964,Vicky Cristina Barcelona,96,6.7,2008,Romance
2965,Horton Hears a Who!,88,6.2,2008,Animation
2965,Horton Hears a Who!,88,6.2,2008,Comedy
2965,Horton Hears a Who!,88,6.2,2008,Family
2965,Horton Hears a Who!,88,6.2,2008,Adventure
2965,Horton Hears a Who!,88,6.2,2008,Fantasy
2966,The Duchess,110,6.6,2008,Drama
2966,The Duchess,110,6.6,2008,History
2966,The Duchess,110,6.6,2008,Romance
2967,Happy-Go-Lucky,118,5.9,2008,Drama
2967,Happy-Go-Lucky,118,5.9,2008,Comedy
2968,The Forbidden Kingdom,104,6.2,2008,Action
2968,The Forbidden Kingdom,104,6.2,2008,Adventure
2968,The Forbidden Kingdom,104,6.2,2008,Fantasy
2969,Che: Part One,134,6.5,2008,Drama
2969,Che: Part One,134,6.5,2008,History
2969,Che: Part One,134,6.5,2008,War
2970,BURNâ€¢E,8,7.9,2008,Animation
2970,BURNâ€¢E,8,7.9,2008,Family
2971,Righteous Kill,101,5.8,2008,Action
2971,Righteous Kill,101,5.8,2008,Adventure
2971,Righteous Kill,101,5.8,2008,Crime
2971,Righteous Kill,101,5.8,2008,Drama
2971,Righteous Kill,101,5.8,2008,Thriller
2972,Transsiberian,111,6.3,2008,Thriller
2972,Transsiberian,111,6.3,2008,Crime
2972,Transsiberian,111,6.3,2008,Mystery
2973,Traitor,114,6.2,2008,Drama
2973,Traitor,114,6.2,2008,Action
2973,Traitor,114,6.2,2008,Thriller
2973,Traitor,114,6.2,2008,Crime
2974,You Don't Mess With the Zohan,113,5.6,2008,Comedy
2974,You Don't Mess With the Zohan,113,5.6,2008,Action
2975,Defiance,137,6.6,2008,Action
2975,Defiance,137,6.6,2008,Drama
2975,Defiance,137,6.6,2008,History
2975,Defiance,137,6.6,2008,War
2976,Management,94,5.1,2008,Comedy
2976,Management,94,5.1,2008,Drama
2976,Management,94,5.1,2008,Romance
2977,Untraceable,101,5.8,2008,Drama
2978,The Good Witch,89,5.5,2008,Family
2978,The Good Witch,89,5.5,2008,Fantasy
2978,The Good Witch,89,5.5,2008,Drama
2979,LOL (Laughing Out Loud),103,6.4,2008,Comedy
2980,The Strangers,90,5.9,2008,Thriller
2980,The Strangers,90,5.9,2008,Horror
2980,The Strangers,90,5.9,2008,Mystery
2981,Stargate: Continuum,98,6.6,2008,Adventure
2981,Stargate: Continuum,98,6.6,2008,Science Fiction
2982,Milk,128,7.1,2008,History
2982,Milk,128,7.1,2008,Drama
2983,Outlander,115,6.0,2008,Fantasy
2983,Outlander,115,6.0,2008,Action
2983,Outlander,115,6.0,2008,Science Fiction
2984,The X Files: I Want to Believe,104,5.4,2008,Drama
2984,The X Files: I Want to Believe,104,5.4,2008,Mystery
2984,The X Files: I Want to Believe,104,5.4,2008,Science Fiction
2984,The X Files: I Want to Believe,104,5.4,2008,Thriller
2985,Doubt,104,6.7,2008,Drama
2985,Doubt,104,6.7,2008,Mystery
2986,Rachel Getting Married,113,6.1,2008,Drama
2987,A Matter of Loaf and Death,30,7.0,2008,Animation
2987,A Matter of Loaf and Death,30,7.0,2008,Comedy
2987,A Matter of Loaf and Death,30,7.0,2008,Family
2988,City of Ember,90,6.1,2008,Adventure
2988,City of Ember,90,6.1,2008,Family
2988,City of Ember,90,6.1,2008,Fantasy
2989,Made of Honor,101,5.8,2008,Comedy
2989,Made of Honor,101,5.8,2008,Romance
2990,The Other Boleyn Girl,115,6.3,2008,Drama
2991,The Lazarus Project,100,5.9,2008,Drama
2991,The Lazarus Project,100,5.9,2008,Mystery
2991,The Lazarus Project,100,5.9,2008,Thriller
2992,Deception,107,5.8,2008,Drama
2992,Deception,107,5.8,2008,Thriller
2992,Deception,107,5.8,2008,Crime
2992,Deception,107,5.8,2008,Mystery
2993,RockNRolla,114,6.8,2008,Action
2993,RockNRolla,114,6.8,2008,Crime
2993,RockNRolla,114,6.8,2008,Thriller
2994,The Eye,98,5.6,2008,Drama
2994,The Eye,98,5.6,2008,Horror
2994,The Eye,98,5.6,2008,Thriller
2995,Elegy,112,6.3,2008,Drama
2995,Elegy,112,6.3,2008,Romance
2996,Bangkok Dangerous,99,5.0,2008,Action
2996,Bangkok Dangerous,99,5.0,2008,Crime
2996,Bangkok Dangerous,99,5.0,2008,Thriller
2997,Meet the Spartans,84,4.0,2008,Comedy
2998,Stop-Loss,113,6.1,2008,Drama
2998,Stop-Loss,113,6.1,2008,War
2999,Drillbit Taylor,102,5.3,2008,Comedy
3000,"Synecdoche, New York",124,7.4,2008,Drama
3001,My Sassy Girl,92,6.2,2008,Comedy
3001,My Sassy Girl,92,6.2,2008,Drama
3001,My Sassy Girl,92,6.2,2008,Romance
3002,Blindness,121,6.3,2008,Drama
3002,Blindness,121,6.3,2008,Mystery
3002,Blindness,121,6.3,2008,Science Fiction
3002,Blindness,121,6.3,2008,Thriller
3003,The Spirit,103,4.6,2008,Action
3003,The Spirit,103,4.6,2008,Comedy
3003,The Spirit,103,4.6,2008,Thriller
3003,The Spirit,103,4.6,2008,Crime
3003,The Spirit,103,4.6,2008,Science Fiction
3004,Sleepwalking,101,6.4,2008,Drama
3005,Nothing But the Truth,108,6.1,2008,Drama
3005,Nothing But the Truth,108,6.1,2008,Thriller
3006,Eden Lake,91,6.8,2008,Horror
3006,Eden Lake,91,6.8,2008,Thriller
3007,Appaloosa,115,6.2,2008,Drama
3007,Appaloosa,115,6.2,2008,Western
3007,Appaloosa,115,6.2,2008,Crime
3008,The Informers,98,4.3,2008,Action
3008,The Informers,98,4.3,2008,Adventure
3008,The Informers,98,4.3,2008,Crime
3008,The Informers,98,4.3,2008,Drama
3008,The Informers,98,4.3,2008,Thriller
3009,The Happening,91,4.8,2008,Thriller
3009,The Happening,91,4.8,2008,Science Fiction
3010,Doomsday,105,5.8,2008,Action
3010,Doomsday,105,5.8,2008,Thriller
3010,Doomsday,105,5.8,2008,Science Fiction
3011,The Secret of Moonacre,103,5.7,2008,Adventure
3011,The Secret of Moonacre,103,5.7,2008,Fantasy
3011,The Secret of Moonacre,103,5.7,2008,Drama
3011,The Secret of Moonacre,103,5.7,2008,Science Fiction
3011,The Secret of Moonacre,103,5.7,2008,Romance
3012,Joy Ride 2: Dead Ahead,91,5.4,2008,Crime
3012,Joy Ride 2: Dead Ahead,91,5.4,2008,Thriller
3013,Bronson,92,6.9,2008,Drama
3013,Bronson,92,6.9,2008,Action
3013,Bronson,92,6.9,2008,Crime
3014,Vals Im Bashir,90,7.7,2008,Drama
3014,Vals Im Bashir,90,7.7,2008,Animation
3014,Vals Im Bashir,90,7.7,2008,War
3015,Max Manus,118,6.9,2008,Drama
3015,Max Manus,118,6.9,2008,History
3015,Max Manus,118,6.9,2008,War
3016,Dr. Dolittle: Tail to the Chief,85,4.9,2008,Comedy
3016,Dr. Dolittle: Tail to the Chief,85,4.9,2008,Family
3016,Dr. Dolittle: Tail to the Chief,85,4.9,2008,Fantasy
3017,Sex and the City,145,6.1,2008,Comedy
3017,Sex and the City,145,6.1,2008,Drama
3017,Sex and the City,145,6.1,2008,Romance
3018,The Rocker,102,5.4,2008,Comedy
3018,The Rocker,102,5.4,2008,Music
3019,Barbie Mariposa and Her Butterfly Fairy Friends,75,5.4,2008,Animation
3019,Barbie Mariposa and Her Butterfly Fairy Friends,75,5.4,2008,Fantasy
3019,Barbie Mariposa and Her Butterfly Fairy Friends,75,5.4,2008,Family
3020,The Tale of Despereaux,100,5.7,2008,Animation
3020,The Tale of Despereaux,100,5.7,2008,Comedy
3020,The Tale of Despereaux,100,5.7,2008,Family
3021,Zombie Strippers!,94,4.4,2008,Comedy
3021,Zombie Strippers!,94,4.4,2008,Horror
3022,Niko: LentÃ¤jÃ¤n poika,80,4.9,2008,Animation
3022,Niko: LentÃ¤jÃ¤n poika,80,4.9,2008,Family
3022,Niko: LentÃ¤jÃ¤n poika,80,4.9,2008,Adventure
3022,Niko: LentÃ¤jÃ¤n poika,80,4.9,2008,Drama
3022,Niko: LentÃ¤jÃ¤n poika,80,4.9,2008,Fantasy
3023,Superhero Movie,85,4.9,2008,Action
3023,Superhero Movie,85,4.9,2008,Comedy
3023,Superhero Movie,85,4.9,2008,Science Fiction
3024,The Secret Life of Bees,114,7.2,2008,Adventure
3024,The Secret Life of Bees,114,7.2,2008,Drama
3025,100 Feet,105,5.8,2008,Horror
3025,100 Feet,105,5.8,2008,Thriller
3026,The Other Man,90,5.1,2008,Drama
3026,The Other Man,90,5.1,2008,Thriller
3026,The Other Man,90,5.1,2008,Mystery
3026,The Other Man,90,5.1,2008,Romance
3027,Beverly Hills Chihuahua,91,5.1,2008,Adventure
3027,Beverly Hills Chihuahua,91,5.1,2008,Comedy
3027,Beverly Hills Chihuahua,91,5.1,2008,Family
3028,The Burning Plain,111,6.7,2008,Drama
3028,The Burning Plain,111,6.7,2008,Romance
3029,Revolutionary Road,119,6.5,2008,Drama
3029,Revolutionary Road,119,6.5,2008,Romance
3030,Be Kind Rewind,102,6.1,2008,Drama
3030,Be Kind Rewind,102,6.1,2008,Comedy
3031,Sunshine Cleaning,102,6.2,2008,Comedy
3031,Sunshine Cleaning,102,6.2,2008,Drama
3032,Futurama: The Beast with a Billion Backs,90,6.8,2008,Animation
3032,Futurama: The Beast with a Billion Backs,90,6.8,2008,Comedy
3032,Futurama: The Beast with a Billion Backs,90,6.8,2008,Science Fiction
3032,Futurama: The Beast with a Billion Backs,90,6.8,2008,Fantasy
3033,The Andromeda Strain,180,6.6,2008,Romance
3033,The Andromeda Strain,180,6.6,2008,Science Fiction
3033,The Andromeda Strain,180,6.6,2008,Thriller
3034,The Ruins,91,5.1,2008,Drama
3034,The Ruins,91,5.1,2008,Horror
3035,Camp Rock,94,5.8,2008,Comedy
3035,Camp Rock,94,5.8,2008,Drama
3035,Camp Rock,94,5.8,2008,Family
3035,Camp Rock,94,5.8,2008,Music
3035,Camp Rock,94,5.8,2008,TV Movie
3036,Ghost Town,102,6.1,2008,Comedy
3036,Ghost Town,102,6.1,2008,Fantasy
3036,Ghost Town,102,6.1,2008,Romance
3037,Hunger,96,7.1,2008,Drama
3037,Hunger,96,7.1,2008,History
3038,Fifty Dead Men Walking,117,6.0,2008,Action
3038,Fifty Dead Men Walking,117,6.0,2008,Thriller
3039,Dead Space: Downfall,74,6.0,2008,Animation
3039,Dead Space: Downfall,74,6.0,2008,Horror
3039,Dead Space: Downfall,74,6.0,2008,Science Fiction
3039,Dead Space: Downfall,74,6.0,2008,Thriller
3040,The Art of War II: Betrayal,103,4.9,2008,Action
3040,The Art of War II: Betrayal,103,4.9,2008,Thriller
3041,Futurama: Bender's Game,88,6.9,2008,Animation
3041,Futurama: Bender's Game,88,6.9,2008,Comedy
3041,Futurama: Bender's Game,88,6.9,2008,Science Fiction
3042,Ong Bak 2,98,6.2,2008,Adventure
3042,Ong Bak 2,98,6.2,2008,Action
3042,Ong Bak 2,98,6.2,2008,Thriller
3043,Miss Pettigrew Lives for a Day,92,6.4,2008,Drama
3043,Miss Pettigrew Lives for a Day,92,6.4,2008,Comedy
3043,Miss Pettigrew Lives for a Day,92,6.4,2008,Romance
3044,Pride and Glory,130,6.3,2008,Thriller
3044,Pride and Glory,130,6.3,2008,Crime
3044,Pride and Glory,130,6.3,2008,Drama
3045,Splinter,82,6.0,2008,Horror
3045,Splinter,82,6.0,2008,Thriller
3046,Robot Chicken: Star Wars Episode II,23,6.2,2008,Comedy
3046,Robot Chicken: Star Wars Episode II,23,6.2,2008,Science Fiction
3047,"Surfer, Dude",85,5.0,2008,Comedy
3048,Baby Mama,99,5.8,2008,Comedy
3049,The Colour of Magic,191,6.2,2008,TV Movie
3049,The Colour of Magic,191,6.2,2008,Comedy
3049,The Colour of Magic,191,6.2,2008,Fantasy
3050,College,94,4.8,2008,Comedy
3051,The Stoning of Soraya M.,114,8.0,2008,Crime
3051,The Stoning of Soraya M.,114,8.0,2008,Drama
3052,Fireflies in the Garden,108,6.2,2008,Drama
3053,Brideshead Revisited,133,6.0,2008,Drama
3053,Brideshead Revisited,133,6.0,2008,Romance
3054,Shutter,85,5.4,2008,Horror
3054,Shutter,85,5.4,2008,Mystery
3054,Shutter,85,5.4,2008,Thriller
3055,College Road Trip,83,5.1,2008,Comedy
3055,College Road Trip,83,5.1,2008,Family
3056,The Brothers Bloom,114,6.8,2008,Adventure
3056,The Brothers Bloom,114,6.8,2008,Comedy
3056,The Brothers Bloom,114,6.8,2008,Drama
3056,The Brothers Bloom,114,6.8,2008,Romance
3057,Meet Dave,90,5.1,2008,Comedy
3057,Meet Dave,90,5.1,2008,Science Fiction
3057,Meet Dave,90,5.1,2008,Adventure
3057,Meet Dave,90,5.1,2008,Family
3058,War Games: The Dead Code,96,5.6,2008,Science Fiction
3058,War Games: The Dead Code,96,5.6,2008,Drama
3058,War Games: The Dead Code,96,5.6,2008,Thriller
3059,Quarantine,89,5.3,2008,Horror
3059,Quarantine,89,5.3,2008,Science Fiction
3059,Quarantine,89,5.3,2008,Thriller
3060,Chaos Theory,87,5.9,2008,Comedy
3060,Chaos Theory,87,5.9,2008,Drama
3060,Chaos Theory,87,5.9,2008,Romance
3061,Justice League: The New Frontier,75,6.3,2008,Action
3061,Justice League: The New Frontier,75,6.3,2008,Adventure
3061,Justice League: The New Frontier,75,6.3,2008,Animation
3061,Justice League: The New Frontier,75,6.3,2008,Science Fiction
3062,Pathology,95,5.9,2008,Crime
3062,Pathology,95,5.9,2008,Horror
3062,Pathology,95,5.9,2008,Thriller
3063,One Missed Call,87,4.8,2008,Horror
3063,One Missed Call,87,4.8,2008,Mystery
3063,One Missed Call,87,4.8,2008,Thriller
3064,Deadgirl,101,4.9,2008,Romance
3064,Deadgirl,101,4.9,2008,Horror
3064,Deadgirl,101,4.9,2008,Thriller
3065,"Angus, Thongs and Perfect Snogging",100,6.5,2008,Comedy
3065,"Angus, Thongs and Perfect Snogging",100,6.5,2008,Drama
3065,"Angus, Thongs and Perfect Snogging",100,6.5,2008,Family
3065,"Angus, Thongs and Perfect Snogging",100,6.5,2008,Romance
3066,Towelhead,111,5.3,2008,Drama
3067,The Escapist,102,6.2,2008,Action
3067,The Escapist,102,6.2,2008,Thriller
3068,Camille,94,6.0,2008,Comedy
3068,Camille,94,6.0,2008,Drama
3068,Camille,94,6.0,2008,Romance
3069,Mad Money,104,5.9,2008,Action
3069,Mad Money,104,5.9,2008,Comedy
3069,Mad Money,104,5.9,2008,Crime
3070,Barbie and the Diamond Castle,78,6.6,2008,Animation
3070,Barbie and the Diamond Castle,78,6.6,2008,Family
3071,9to5: Days in Porn,113,6.4,2008,Documentary
3072,Open Season 2,76,5.6,2008,Adventure
3072,Open Season 2,76,5.6,2008,Animation
3072,Open Season 2,76,5.6,2008,Comedy
3072,Open Season 2,76,5.6,2008,Family
3073,The Cottage,92,6.4,2008,Horror
3073,The Cottage,92,6.4,2008,Comedy
3073,The Cottage,92,6.4,2008,Crime
3073,The Cottage,92,6.4,2008,Thriller
3074,Batman: Gotham Knight,75,6.8,2008,Animation
3074,Batman: Gotham Knight,75,6.8,2008,Action
3074,Batman: Gotham Knight,75,6.8,2008,Adventure
3075,Two Lovers,110,6.5,2008,Drama
3075,Two Lovers,110,6.5,2008,Romance
3076,Passengers,93,5.5,2008,Drama
3076,Passengers,93,5.5,2008,Mystery
3076,Passengers,93,5.5,2008,Thriller
3076,Passengers,93,5.5,2008,Romance
3077,The Sisterhood of the Traveling Pants 2,117,6.0,2008,Adventure
3077,The Sisterhood of the Traveling Pants 2,117,6.0,2008,Comedy
3077,The Sisterhood of the Traveling Pants 2,117,6.0,2008,Drama
3077,The Sisterhood of the Traveling Pants 2,117,6.0,2008,Family
3078,The Express,130,7.1,2008,Drama
3079,Strange Wilderness,87,4.6,2008,Comedy
3080,Surveillance,97,6.0,2008,Thriller
3081,The Women,114,4.6,2008,Comedy
3081,The Women,114,4.6,2008,Drama
3081,The Women,114,4.6,2008,Romance
3082,Gong fu guan lan,100,5.1,2008,Action
3082,Gong fu guan lan,100,5.1,2008,Adventure
3082,Gong fu guan lan,100,5.1,2008,Comedy
3083,Picture This,92,5.0,2008,Drama
3083,Picture This,92,5.0,2008,Comedy
3083,Picture This,92,5.0,2008,Romance
3083,Picture This,92,5.0,2008,Family
3084,Killshot,95,6.0,2008,Crime
3084,Killshot,95,6.0,2008,Drama
3084,Killshot,95,6.0,2008,Thriller
3085,ÐÐ´Ð¼Ð¸Ñ€Ð°Ð»ÑŠ,123,6.7,2008,Action
3085,ÐÐ´Ð¼Ð¸Ñ€Ð°Ð»ÑŠ,123,6.7,2008,Drama
3085,ÐÐ´Ð¼Ð¸Ñ€Ð°Ð»ÑŠ,123,6.7,2008,History
3085,ÐÐ´Ð¼Ð¸Ñ€Ð°Ð»ÑŠ,123,6.7,2008,War
3086,Alien Raiders,85,4.9,2008,Horror
3086,Alien Raiders,85,4.9,2008,Science Fiction
3086,Alien Raiders,85,4.9,2008,Thriller
