,original_title,runtime,vote_average,release_year,genre
43,The Man from U.N.C.L.E.,116,7.0,2015,Adventure
44,The Age of Adaline,112,7.3,2015,Fantasy
44,The Age of Adaline,112,7.3,2015,Drama
44,The Age of Adaline,112,7.3,2015,Romance
45,Hardcore Henry,97,5.9,2015,Action
45,Hardcore Henry,97,5.9,2015,Adventure
45,Hardcore Henry,97,5.9,2015,Science Fiction
46,Home,94,6.9,2015,Fantasy
46,Home,94,6.9,2015,Comedy
46,Home,94,6.9,2015,Animation
46,Home,94,6.9,2015,Science Fiction
46,Home,94,6.9,2015,Family
47,Paper Towns,109,6.2,2015,Drama
47,Paper Towns,109,6.2,2015,Mystery
47,Paper Towns,109,6.2,2015,Romance
48,Wild Card,92,5.3,2015,Thriller
48,Wild Card,92,5.3,2015,Crime
48,Wild Card,92,5.3,2015,Drama
49,The Lobster,118,6.6,2015,Thriller
49,The Lobster,118,6.6,2015,Comedy
49,The Lobster,118,6.6,2015,Drama
49,The Lobster,118,6.6,2015,Romance
49,The Lobster,118,6.6,2015,Science Fiction
50,Carol,118,7.1,2015,Romance
50,Carol,118,7.1,2015,Drama
51,The Intern,121,7.1,2015,Comedy
52,Everest,121,6.7,2015,Adventure
52,Everest,121,6.7,2015,Drama
53,Joy,124,6.4,2015,Comedy
53,Joy,124,6.4,2015,Drama
54,Point Break,114,5.5,2015,Action
54,Point Break,114,5.5,2015,Crime
54,Point Break,114,5.5,2015,Thriller
55,Burnt,100,6.3,2015,Drama
56,Self/less,116,6.2,2015,Science Fiction
56,Self/less,116,6.2,2015,Mystery
56,Self/less,116,6.2,2015,Thriller
57,Mortdecai,106,5.3,2015,Comedy
57,Mortdecai,106,5.3,2015,Adventure
58,The Danish Girl,120,7.3,2015,Drama
59,Blackhat,133,5.0,2015,Mystery
59,Blackhat,133,5.0,2015,Crime
59,Blackhat,133,5.0,2015,Action
59,Blackhat,133,5.0,2015,Thriller
59,Blackhat,133,5.0,2015,Drama
60,Sicario,121,7.1,2015,Action
60,Sicario,121,7.1,2015,Crime
60,Sicario,121,7.1,2015,Drama
60,Sicario,121,7.1,2015,Mystery
60,Sicario,121,7.1,2015,Thriller
61,Fantastic Four,100,4.4,2015,Action
61,Fantastic Four,100,4.4,2015,Adventure
61,Fantastic Four,100,4.4,2015,Science Fiction
62,The Witch,92,5.8,2015,Mystery
62,The Witch,92,5.8,2015,Horror
63,Spy,120,6.9,2015,Action
63,Spy,120,6.9,2015,Comedy
63,Spy,120,6.9,2015,Crime
64,Focus,105,6.7,2015,Romance
64,Focus,105,6.7,2015,Comedy
64,Focus,105,6.7,2015,Crime
64,Focus,105,6.7,2015,Drama
65,Hitman: Agent 47,96,5.5,2015,Action
65,Hitman: Agent 47,96,5.5,2015,Crime
65,Hitman: Agent 47,96,5.5,2015,Thriller
66,In the Heart of the Sea,122,6.4,2015,Thriller
66,In the Heart of the Sea,122,6.4,2015,Drama
66,In the Heart of the Sea,122,6.4,2015,Adventure
66,In the Heart of the Sea,122,6.4,2015,Action
66,In the Heart of the Sea,122,6.4,2015,History
67,Survivor,96,5.4,2015,Crime
67,Survivor,96,5.4,2015,Thriller
67,Survivor,96,5.4,2015,Action
68,Creed,133,7.3,2015,Drama
69,Trainwreck,125,6.1,2015,Comedy
70,Eye in the Sky,102,7.2,2015,Drama
70,Eye in the Sky,102,7.2,2015,Thriller
70,Eye in the Sky,102,7.2,2015,War
71,Legend,131,6.7,2015,Crime
71,Legend,131,6.7,2015,Thriller
72,Beyond the Reach,95,5.5,2015,Thriller
73,Pan,111,5.9,2015,Adventure
73,Pan,111,5.9,2015,Family
73,Pan,111,5.9,2015,Fantasy
74,Mythica: The Darkspore,108,5.1,2015,Action
74,Mythica: The Darkspore,108,5.1,2015,Adventure
74,Mythica: The Darkspore,108,5.1,2015,Fantasy
75,Me and Earl and the Dying Girl,105,7.7,2015,Comedy
75,Me and Earl and the Dying Girl,105,7.7,2015,Drama
76,The Peanuts Movie,88,6.4,2015,Adventure
76,The Peanuts Movie,88,6.4,2015,Animation
76,The Peanuts Movie,88,6.4,2015,Comedy
76,The Peanuts Movie,88,6.4,2015,Family
77,Concussion,123,6.9,2015,Drama
78,The Night Before,100,6.1,2015,Comedy
79,Knock Knock,99,4.8,2015,Drama
79,Knock Knock,99,4.8,2015,Horror
79,Knock Knock,99,4.8,2015,Thriller
80,The Longest Ride,128,7.3,2015,Romance
80,The Longest Ride,128,7.3,2015,Drama
81,Hotel Transylvania 2,89,6.8,2015,Animation
81,Hotel Transylvania 2,89,6.8,2015,Comedy
81,Hotel Transylvania 2,89,6.8,2015,Family
82,Love the Coopers,107,5.3,2015,Family
82,Love the Coopers,107,5.3,2015,Comedy
83,The Walk,123,6.8,2015,Adventure
83,The Walk,123,6.8,2015,Drama
83,The Walk,123,6.8,2015,Thriller
84,Tracers,94,5.9,2015,Action
84,Tracers,94,5.9,2015,Crime
84,Tracers,94,5.9,2015,Drama
85,Vacation,99,6.1,2015,Adventure
85,Vacation,99,6.1,2015,Comedy
86,Poltergeist,93,5.0,2015,Horror
86,Poltergeist,93,5.0,2015,Thriller
87,Maggie,95,5.1,2015,Horror
88,Equals,101,5.6,2015,Drama
88,Equals,101,5.6,2015,Romance
